Timestamp,[Admin only] Participant ID,[Admin only] Method Type (A/B),Age,Gender,Do you have a technical background?,"As I was correcting the robot, I had a good understanding of what it learned.",I had a good idea of what the robot would do once I stopped correcting it.,"After I stopped correcting the robot, I was surprised by its actions.",I knew when I could stop correcting the robot. ,I was uncertain when to let go of the robot. ,I had to keep correcting the robot multiple times. ,The robot helped me understand what it learned. ,The robot cooperated with me to complete the task.,I felt like the robot was an equal partner.,"I felt like I was the leader and the robot was a follower.",Corrections required a lot of physical effort.,The robot resisted me when I tried to corrected it.,The robot was compliant during corrections.,
8/11/2017 16:01:57,2,A,18-24,Male,Yes,3,6,2,5,4,2,4,6,3,5,1,1,6,
8/11/2017 16:08:01,2,B,18-24,Male,Yes,6,5,2,5,2,3,5,7,6,3,2,4,4,
8/11/2017 16:23:09,3,B,18-24,Male,Yes,3,5,2,6,2,4,2,7,2,7,2,3,5,
8/11/2017 16:29:44,3,A,18-24,Male,Yes,3,4,6,3,6,6,2,4,1,7,4,4,3,
8/11/2017 16:57:33,4,A,18-24,Male,Yes,5,5,4,3,5,5,5,6,4,6,1,1,6,
8/11/2017 17:04:11,4,B,18-24,Male,Yes,5,7,3,6,5,5,5,5,4,6,1,1,6,
8/11/2017 17:11:24,5,B,25-34,Male,Yes,3,5,3,6,2,7,2,5,2,6,2,5,4,
8/11/2017 17:16:53,5,A,25-34,Male,Yes,5,5,3,5,3,5,2,5,2,6,2,3,5,
8/12/2017 13:08:31,6,A,55-64,Female,No,6,6,5,3,7,5,6,5,5,4,4,6,3,
8/12/2017 13:17:18,6,B,,Female,No,6,7,5,6,4,7,6,5,5,5,7,7,3,
8/12/2017 13:27:08,7,B,55-64,Male,No,4,7,4,5,3,3,4,7,7,3,1,1,7,"I enjoyed interacting the robot.  I have no idea what it learned from me however!"
8/12/2017 13:34:22,7,A,55-64,Male,No,4,5,3,7,3,1,3,7,4,3,1,1,7,"I enjoyed participating.  The second time I didn't manipulate the robot as much.  I did fairly well on experiments 1 and 2 but not so well on experiment 3."
