ID,Method/Task Order,Task,Method,Age,Gender,TechBG,I successfully taught the robot how to do the task. ,The robot correctly updated its understanding about aspects of the task that I did want to change.,The robot wrongly updated its understanding about aspects of the task I did NOT want to change.,The robot understood which aspects of the task I wanted to change and how to change them.,The robot misinterpreted my corrections.,I had to try to undo corrections that I gave to the robot because it learned the wrong thing.,Sometimes my corrections were just meant to fix the effect of previous corrections I gave.,I had to re-teach the robot about an aspect of the task that it started off knowing well.,When the robot learned something wrong it was difficult for me to undo that.,It was easy to re-correct the robot whenever it misunderstood a previous correction of mine.
0,Order 1,Task 1,ONE,23,Female,Yes,4,7,5,5,3,1,1,1,1,4
0,Order 1,Task 1,ALL,23,Female,Yes,4,7,6,4,5,6,6,6,2,6
0,Order 1,Task 2,ONE,23,Female,Yes,3,5,2,4,2,2,1,3,5,3
0,Order 1,Task 2,ALL,23,Female,Yes,3,6,6,3,5,6,7,4,3,5
1,Order 1,Task 1,ONE,22,Female,Yes,6,6,3,6,2,3,6,5,2,6
1,Order 1,Task 1,ALL,22,Female,Yes,6,6,3,6,3,6,6,6,3,6
1,Order 1,Task 2,ONE,22,Female,Yes,6,6,2,6,2,3,4,2,2,6
1,Order 1,Task 2,ALL,22,Female,Yes,6,6,4,6,4,6,6,6,4,6
2,Order 1,Task 1,ONE,24,Female,Yes,5,5,3,5,3,3,4,3,4,4
2,Order 1,Task 1,ALL,24,Female,Yes,5,5,5,5,4,4,5,5,4,4
2,Order 1,Task 2,ONE,24,Female,Yes,6,6,3,5,3,3,3,3,4,4
2,Order 1,Task 2,ALL,24,Female,Yes,5,5,5,4,4,5,5,4,5,3
3,Order 2,Task 1,ALL,23,Male,Yes,4,3,6,2,6,6,6,6,3,2
3,Order 2,Task 1,ONE,23,Male,Yes,6,6,2,6,2,2,2,2,2,6
3,Order 2,Task 2,ALL,23,Male,Yes,2,2,6,1,7,7,7,7,6,2
3,Order 2,Task 2,ONE,23,Male,Yes,5,5,2,5,3,3,3,2,2,6
4,Order 2,Task 1,ALL,22,Female,Yes,6,7,2,6,2,1,1,1,2,4
4,Order 2,Task 1,ONE,22,Female,Yes,6,6,3,5,5,5,6,5,2,6
4,Order 2,Task 2,ALL,22,Female,Yes,5,5,4,4,6,6,7,6,3,5
4,Order 2,Task 2,ONE,22,Female,Yes,5,4,4,5,4,6,6,5,3,5
5,Order 2,Task 1,ALL,23,Male,Yes,7,6,1,6,2,1,3,1,1,7
5,Order 2,Task 1,ONE,23,Male,Yes,5,5,2,5,2,1,1,2,4,6
5,Order 2,Task 2,ALL,23,Male,Yes,7,7,1,7,1,1,1,1,1,7
5,Order 2,Task 2,ONE,23,Male,Yes,6,5,2,6,3,2,3,3,2,6
6,Order 3,Task 2,ONE,24,Male,Yes,5,5,2,5,2,3,5,2,3,4
6,Order 3,Task 2,ALL,24,Male,Yes,6,6,2,5,2,2,4,3,2,5
6,Order 3,Task 1,ONE,24,Male,Yes,6,5,4,5,3,2,2,2,2,5
6,Order 3,Task 1,ALL,24,Male,Yes,5,5,5,3,5,6,6,5,3,5
7,Order 3,Task 2,ONE,23,Female,Yes,4,6,4,5,2,1,4,2,3,5
7,Order 3,Task 2,ALL,23,Female,Yes,4,6,5,3,4,5,6,5,3,4
7,Order 3,Task 1,ONE,23,Female,Yes,5,5,3,5,3,2,2,2,2,5
7,Order 3,Task 1,ALL,23,Female,Yes,3,4,6,4,5,6,6,6,5,4
8,Order 3,Task 2,ONE,23,Female,Yes,6,5,1,4,5,2,5,2,1,6
8,Order 3,Task 2,ALL,23,Female,Yes,6,7,2,6,3,5,7,2,2,6
8,Order 3,Task 1,ONE,23,Female,Yes,7,6,7,5,5,7,7,6,1,6
8,Order 3,Task 1,ALL,23,Female,Yes,6,5,7,5,6,7,7,6,1,6
