participant,task,attempt,method,Rvel,Rcup,Rtable,Rvel*,Rcup*,Rtable*,RvD,RcD,RtD,Force,iactT,wDot,wFDot,wFAngle,wFDiff,wUpdateScore,RegretCup,RegretTable,wPathLenCup,wPathLenTable,absRDiffCup,absRDiffTable
P0,T1,1,A,0.0518258354957,150.862061202,40.3882519127,0.0252667811742,67.9221456532,41.5027278248,0.0265590543215,82.9399155491,1.11447591211,119.358099937,1.3,0.824122551151,1.0,0.785398163397,1.0,3.0,0.0,-3.1977913161,23.9252329904,20.6666197675,103.172266811,3.1977913161
P0,T1,1,B,0.0318961462139,67.9522612333,48.0039586951,0.0252667811742,67.9221456532,41.5027278248,0.0066293650397,0.0301155800677,6.50123087031,56.4723262787,0.8,0.76342888275,1.0,0.0,0.0,5.0,0.0,-2.02717842512e-11,19.9,20.5771648067,4.47926140623e-11,2.02717842512e-11
P0,T1,2,A,0.0822783422369,78.1989721796,46.0971741962,0.0252667811742,67.9221456532,41.5027278248,0.0570115610627,10.2768265264,4.59444637144,76.4090528488,1.4,0.809475561205,1.0,0.0868449221811,0.0870639121644,2.0,0.0,-0.418255037073,23.0836885563,20.6741555013,1.51046704616,0.418255037073
P0,T1,2,B,0.0326177425177,71.1961146418,45.7365734983,0.0252667811742,67.9221456532,41.5027278248,0.00735096134354,3.27396898856,4.23384567346,77.9125356674,0.9,0.812950335097,1.0,0.0,0.0,2.0,0.0,-2.02717842512e-11,19.9,20.7204344956,4.47926140623e-11,2.02717842512e-11
P0,T2,1,A,0.190695733778,150.929328015,55.8089149063,0.0521496254811,117.782620548,61.2207211307,0.138546108297,33.1467074667,5.41180622438,123.320523977,1.6,0.937709727474,1.13155416169,0.65459513127,0.868445838312,7.0,85.5475789345,-19.5390117691,21.6879398912,21.0232565561,85.5475789345,19.5390117691
P0,T2,1,B,0.119551355413,129.753681593,71.09529628,0.0521496254811,117.782620548,61.2207211307,0.067401729932,11.9710610452,9.87457514928,68.0069162846,1.1,1.18550445471,2.0,2.10734242554e-08,0.0,8.0,-2.0484947072e-10,-2.62829757958e-11,20.5293932493,20.7208722984,2.0484947072e-10,2.62829757958e-11
P0,T2,2,A,0.157166705813,144.50005306,56.8310659614,0.0521496254811,117.782620548,61.2207211307,0.105017080332,26.7174325116,4.38965516925,37.1060693264,0.7,0.873500696275,1.46122954642,0.0103266210595,0.381117641138,5.0,2.30886594835,1.98626012879,20.4628282117,20.8231385552,2.30886594835,1.98626012879
P0,T2,2,B,0.211093111775,128.581457707,65.9914425074,0.0521496254811,117.782620548,61.2207211307,0.158943486294,10.798837159,4.77072137666,85.1334311962,1.1,1.11375811363,2.0,2.10734242554e-08,0.0,5.0,-2.0484947072e-10,-2.62829757958e-11,20.6832842777,20.8315929641,2.0484947072e-10,2.62829757958e-11
P1,T1,1,A,0.130254278309,72.3399753997,46.00265311,0.0252667811742,67.9221456532,41.5027278248,0.104987497134,4.41782974652,4.49992528515,192.321285009,4.2,0.729849773217,1.0,0.104800137296,0.105185506103,15.0,0.0,0.243965998142,28.3413945721,21.5196249006,7.74662364124,0.243965998142
P1,T1,1,B,0.0398249274477,59.6015179528,48.4994098865,0.0252667811742,67.9221456532,41.5027278248,0.0145581462735,8.32062770042,6.99668206167,242.649785876,3.0,0.795706064977,1.0,0.44512596639,0.47705778696,1.0,0.0,23.5199167775,20.2255797422,20.7238002722,51.8730546159,23.5199167775
P1,T1,2,A,0.135020962402,65.5292135429,44.540169557,0.0252667811742,67.9221456532,41.5027278248,0.109754181228,2.39293211026,3.03744173224,342.101089001,5.0,0.76510499496,1.0,0.378924933994,0.398166684168,6.0,0.0,0.297847299896,34.4043163684,21.4724133292,63.2954382885,0.297847299896
P1,T1,2,B,0.0512530364976,55.9753648946,51.3630081771,0.0252667811742,67.9221456532,41.5027278248,0.0259862553234,11.9467807586,9.86028035232,343.448144197,4.2,0.714458246475,1.0,0.278957143973,0.286425576645,-1.0,0.0,23.4184789668,20.4626595583,21.278424918,51.6646359953,23.4184789668
P1,T2,1,A,0.272673156092,136.280164972,46.2933815549,0.0521496254811,117.782620548,61.2207211307,0.220523530611,18.4975444244,14.9273395758,157.249237537,1.9,0.794145385933,1.27414349099,0.507850495751,0.717533044969,5.0,49.9724349698,-20.6948951227,22.0457594428,21.071223579,49.9724349698,20.6948951227
P1,T2,1,B,0.238320951457,114.424190391,51.4274482237,0.0521496254811,117.782620548,61.2207211307,0.186171325976,3.35843015729,9.79327290704,392.062259674,4.0,1.29732516263,2.0,2.10734242554e-08,0.0,6.0,-2.0484947072e-10,-2.62829757958e-11,20.7262632123,20.9013173454,2.0484947072e-10,2.62829757958e-11
P1,T2,2,A,0.274748861759,142.805038637,44.0186307887,0.0521496254811,117.782620548,61.2207211307,0.222599236278,25.0224180885,17.202090342,218.535224557,3.6,0.759198565964,0.987487544193,0.797909966276,1.01251245581,8.0,90.0147520695,-19.561842347,23.1597213243,20.8141158533,90.0147520695,19.561842347
P1,T2,2,B,0.17024146762,120.104904941,59.6710913572,0.0521496254811,117.782620548,61.2207211307,0.118091842139,2.32228439343,1.54962977348,188.640878916,2.8,1.28572206707,2.0,2.10734242554e-08,0.0,8.0,-2.0484947072e-10,-2.62829757958e-11,20.4922665386,20.7203658778,2.0484947072e-10,2.62829757958e-11
P2,T1,1,A,0.142293172484,71.4841453441,54.9408824031,0.0252667811742,67.9221456532,41.5027278248,0.11702639131,3.5619996909,13.4381545783,99.6695524454,2.1,0.689971035882,1.0,0.400624986873,0.423530119396,3.0,0.0,0.297847299896,25.3814127763,20.8578713886,63.2954382885,0.297847299896
P2,T1,1,B,0.030352004476,50.6964489039,59.3629615416,0.0252667811742,67.9221456532,41.5027278248,0.00508522330176,17.2256967493,17.8602337168,88.0718108416,1.6,0.460215399796,1.0,0.0950473171533,0.0953345741457,-2.0,0.0,0.274943849729,19.9219559464,21.0175965832,9.92793263643,0.274943849729
P2,T1,2,A,0.13498040011,66.3790742462,52.6890704309,0.0252667811742,67.9221456532,41.5027278248,0.109713618936,1.54307140697,11.1863426061,142.367337823,2.5,0.657877352588,1.0,0.474564829362,0.513721973514,6.0,0.0,0.297847299896,25.9085258968,20.9813261082,63.2954382885,0.297847299896
P2,T1,2,B,0.0414617005928,45.0923253337,59.0699784643,0.0252667811742,67.9221456532,41.5027278248,0.0161949194186,22.8298203195,17.5672506395,218.915497303,2.9,0.561780555158,1.0,0.289044034368,0.297371988609,0.0,0.0,23.418478986,20.1796229627,20.7220672952,51.6646763567,23.418478986
P2,T2,1,A,0.342071381932,107.221909602,64.7074821113,0.0521496254811,117.782620548,61.2207211307,0.289921756451,10.5607109457,3.48676098057,225.451879025,4.1,0.587326378633,0.00386442135992,1.56886037787,1.99613557864,11.0,105.602177207,-19.4657301238,26.1768964322,20.9781361562,105.602177207,19.4657301238
P2,T2,1,B,0.172843104041,115.631307799,62.1230526877,0.0521496254811,117.782620548,61.2207211307,0.12069347856,2.15131274881,0.902331556975,201.07365489,3.2,1.30635897465,2.0,2.10734242554e-08,0.0,9.0,-2.0484947072e-10,-2.62829757958e-11,20.4987804681,20.6798450966,2.0484947072e-10,2.62829757958e-11
P2,T2,2,A,0.3309975684,111.858234261,60.1673113798,0.0521496254811,117.782620548,61.2207211307,0.278847942919,5.92438628661,1.05340975092,236.772771478,3.2,0.975759420679,0.839673712411,0.944371552504,1.16032628759,8.0,94.2699987715,-20.2870590885,25.250250917,20.9879429771,94.2699987715,20.2870590885
P2,T2,2,B,0.180804879635,111.530299533,61.8008655567,0.0521496254811,117.782620548,61.2207211307,0.128655254154,6.2523210149,0.580144426031,204.126134157,3.2,1.33025533522,1.97716046199,0.0115511728125,0.022839538007,7.0,0.362215507873,-0.100488305388,20.5236652123,20.7200427121,0.362215507873,0.100488305388
P3,T1,1,A,0.20117221569,55.9820344987,48.8311850542,0.0252667811742,67.9221456532,41.5027278248,0.175905434516,11.9401111545,7.32845722936,909.968494773,5.2,0.272953900848,0.272002789215,1.30521872854,1.23692357844,-4.0,0.0,0.818450726802,37.111808906,31.7089218795,103.311143124,0.818450726802
P3,T1,1,B,0.102500374409,48.5835432401,51.7132759619,0.0252667811742,67.9221456532,41.5027278248,0.0772335932352,19.3386024131,10.2105481371,375.820459723,4.2,0.791639009091,1.0,0.7321192642,0.898741322018,2.0,0.0,25.0038122222,21.40721234,20.7995574247,54.4596087008,25.0038122222
P3,T1,2,A,0.131186834858,71.2629150079,45.8079540742,0.0252667811742,67.9221456532,41.5027278248,0.105920053684,3.34076935469,4.30522624942,219.790035486,3.4,0.793405427635,1.0,0.558103181436,0.624310277599,5.0,0.0,0.185253629065,26.5042200526,20.8483707465,63.783508676,0.185253629065
P3,T1,2,B,0.0313119119775,75.7942240189,45.5965776963,0.0252667811742,67.9221456532,41.5027278248,0.00604513080331,7.87207836565,4.09384987153,98.7482357025,1.0,0.80628135342,1.0,0.0,0.0,3.0,0.0,-2.02717842512e-11,19.9,20.66685813,4.47926140623e-11,2.02717842512e-11
P3,T2,1,A,0.376009692329,128.068381296,57.4694261993,0.0521496254811,117.782620548,61.2207211307,0.323860066848,10.2857607481,3.75129493136,338.670488596,3.1,0.348033809214,0.217871371828,1.34309032141,1.42477855838,12.0,105.236889146,-18.7119988464,27.4760517462,24.7406469891,105.236889146,18.7119988464
P3,T2,1,B,0.320790353863,89.2825486077,64.3137255451,0.0521496254811,117.782620548,61.2207211307,0.268640728382,28.5000719403,3.0930044144,313.932923913,2.4,1.21867332377,2.0,2.10734242554e-08,0.0,9.0,-2.0484947072e-10,-2.62829757958e-11,20.5365343237,24.684695129,2.0484947072e-10,2.62829757958e-11
P3,T2,2,A,0.414401493245,119.704312704,57.7576626419,0.0521496254811,117.782620548,61.2207211307,0.362251867764,1.92169215637,3.46305848879,318.275703311,2.9,0.929756190583,1.73752036327,0.149931981254,0.26247963673,7.0,-17.5792432864,13.435326767,26.6250278209,24.556301519,17.5792432864,13.435326767
P3,T2,2,B,0.263296394512,102.592887031,61.1099165278,0.0521496254811,117.782620548,61.2207211307,0.211146769031,15.1897335167,0.110804602934,161.556706905,2.2,1.32235012076,2.0,2.10734242554e-08,0.0,7.0,-2.0484947072e-10,-2.62829757958e-11,20.5665022832,20.7749730706,2.0484947072e-10,2.62829757958e-11
P4,T1,1,A,0.0275158343797,65.7779324828,52.6020989763,0.0252667811742,67.9221456532,41.5027278248,0.00224905320553,2.14421317045,11.0993711515,16.637424469,0.3,0.531534758192,0.792666563339,0.302962304651,0.323078845798,3.0,0.0,-0.862980107171,20.1868741589,20.4891530155,3.55085034069,0.862980107171
P4,T1,1,B,0.0446078183687,86.3112360079,50.4748880649,0.0252667811742,67.9221456532,41.5027278248,0.0193410371945,18.3890903547,8.97216024013,64.404466629,2.1,0.77132287345,1.0,0.0258009625054,0.025806689175,9.0,0.0,-2.02717842512e-11,20.7081812777,20.5246327334,4.47926140623e-11,2.02717842512e-11
