participant,task,attempt,method,Rv,Rf,Rv*,Rf*,RvD,RfD,Force,iactT
P0,T1,1,A,0.2203798992,65.3120199722,0.1029273475,37.6991611249,-0.1174525517,-27.6128588473,443.443077,6.7
P0,T1,1,B,0.1407766926,57.1282109547,0.1029273475,37.6991611249,-0.0378493451,-19.4290498298,78.140262,1.5
P0,T1,2,A,0.2270059454,66.7026390224,0.1029273475,37.6991611249,-0.1240785979,-29.0034778975,266.021091,4.8
P0,T1,2,B,0.142385909,57.4969447267,0.1029273475,37.6991611249,-0.0394585615,-19.7977836018,93.257794,1.9
P0,T2,1,A,0.0306463369,54.7544482153,0.0295727914,37.4201667692,-0.0010735455,-17.334281446,74.466533,0.8
P0,T2,1,B,0.0333080152,51.4540412078,0.0295727914,37.4201667692,-0.0037352238,-14.0338744386,33.380811,0.3
P0,T2,2,A,0.0301740038,53.8882204249,0.0295727914,37.4201667692,-0.0006012124,-16.4680536557,106.764331,1.1
P0,T2,2,B,0.0326255174,50.3558479107,0.0295727914,37.4201667692,-0.003052726,-12.9356811415,27.94078,0.4
P0,T3,1,A,0.0980390646,8.5533550452,0.0400486601,10.3543236534,-0.0579904045,1.8009686083,617.993337,13.2
P0,T3,1,B,0.056844966,9.6504935872,0.0400486601,10.3543236534,-0.0167963058,0.7038300662,18.160184,0.4
P0,T3,2,A,0.1103786579,13.4525012162,0.0400486601,10.3543236534,-0.0703299978,-3.0981775628,633.981445,13.3
P0,T3,2,B,0.0572102356,23.0378920627,0.0400486601,10.3543236534,-0.0171615755,-12.6835684093,16.559244,0.6
P1,T1,1,A,0.2846299962,48.0147313179,0.1029273475,37.6991611249,-0.1817026487,-10.315570193,248.4894,4.4
P1,T1,1,B,0.1582273854,34.2687097083,0.1029273475,37.6991611249,-0.0553000379,3.4304514166,36.715548,0.7
P1,T1,2,A,0.3060793343,41.5583195765,0.1029273475,37.6991611249,-0.2031519868,-3.8591584516,299.701159,4.1
P1,T1,2,B,0.1455097261,29.9409382844,0.1029273475,37.6991611249,-0.0425823786,7.7582228405,71.246925,1.7
P1,T2,1,A,0.0920404244,46.0140871573,0.0295727914,37.4201667692,-0.062467633,-8.5939203881,261.150119,3.3
P1,T2,1,B,0.0583456069,35.6573380433,0.0295727914,37.4201667692,-0.0287728156,1.7628287259,94.996929,1.6
P1,T2,2,A,0.0846808952,47.8242090793,0.0295727914,37.4201667692,-0.0551081038,-10.40404231,269.936539,4.5
P1,T2,2,B,0.058376854,35.3957681304,0.0295727914,37.4201667692,-0.0288040627,2.0243986389,104.423596,1.2
P1,T3,1,A,0.1306670503,22.614810808,0.0400486601,10.3543236534,-0.0906183902,-12.2604871546,440.133334,5.3
P1,T3,1,B,0.088109409,11.8166134374,0.0400486601,10.3543236534,-0.0480607489,-1.462289784,72.30585,1.5
P1,T3,2,A,0.1868527381,12.3772231218,0.0400486601,10.3543236534,-0.1468040779,-2.0228994683,539.574975,5.9
P1,T3,2,B,0.1640269052,13.664944436,0.0400486601,10.3543236534,-0.1239782451,-3.3106207826,227.917657,1.9
P2,T1,1,A,0.1989333441,76.9123240992,0.1029273475,37.6991611249,-0.0960059966,-39.2131629743,201.034269,4.1
P2,T1,1,B,0.1573119223,41.3111786778,0.1029273475,37.6991611249,-0.0543845748,-3.6120175529,69.242431,1.3
P2,T1,2,A,0.2784849094,44.292696267,0.1029273475,37.6991611249,-0.1755575619,-6.5935351422,233.672233,5.4
P2,T1,2,B,0.1350300813,38.6906030193,0.1029273475,37.6991611249,-0.0321027338,-0.9914418944,26.187261,0.7
P2,T2,1,A,0.0397446714,49.5188996092,0.0295727914,37.4201667692,-0.01017188,-12.0987328399,213.932262,2.2
P2,T2,1,B,0.0374516092,44.9228934542,0.0295727914,37.4201667692,-0.0078788179,-7.5027266849,73.495237,0.8
P2,T2,2,A,0.0385821091,48.6518862761,0.0295727914,37.4201667692,-0.0090093177,-11.2317195069,288.929645,3.2
P2,T2,2,B,0.0400375276,41.3613164129,0.0295727914,37.4201667692,-0.0104647362,-3.9411496436,153.511677,2
P2,T3,1,A,0.1103197573,22.41273077,0.0400486601,10.3543236534,-0.0702710971,-12.0584071166,400.288093,7.1
P2,T3,1,B,0.1038466208,12.0966766277,0.0400486601,10.3543236534,-0.0637979606,-1.7423529743,123.96605,2.2
P2,T3,2,A,0.0828276535,21.1547935842,0.0400486601,10.3543236534,-0.0427789934,-10.8004699308,464.424631,6.9
P2,T3,2,B,0.1503917019,15.9971732006,0.0400486601,10.3543236534,-0.1103430418,-5.6428495471,245.938813,2.4
P3,T1,1,A,0.1491541136,80.6257657992,0.1029273475,37.6991611249,-0.0462267661,-42.9266046743,249.494819,6.4
P3,T1,1,B,0.1247377864,50.9417065779,0.1029273475,37.6991611249,-0.0218104389,-13.242545453,59.994887,1.5
P3,T1,2,A,0.1932616525,65.523630022,0.1029273475,37.6991611249,-0.090334305,-27.8244688971,154.057712,4.9
P3,T1,2,B,0.1308640937,48.7528561127,0.1029273475,37.6991611249,-0.0279367462,-11.0536949878,82.765487,1.9
P3,T2,1,A,0.0450575591,42.5447010923,0.0295727914,37.4201667692,-0.0154847677,-5.1245343231,580.909767,6.4
P3,T2,1,B,0.035182991,35.5183625387,0.0295727914,37.4201667692,-0.0056101997,1.9018042305,221.022659,5.3
P3,T2,2,A,0.0505443608,41.139197973,0.0295727914,37.4201667692,-0.0209715694,-3.7190312037,579.484504,6.3
P3,T2,2,B,0.0403359248,29.5233553804,0.0295727914,37.4201667692,-0.0107631334,7.8968113888,342.635732,6.4
P3,T3,1,A,0.0868305725,16.7676369234,0.0400486601,10.3543236534,-0.0467819124,-6.41331327,446.738247,7.8
P3,T3,1,B,0.0883158439,11.9492683298,0.0400486601,10.3543236534,-0.0482671838,-1.5949446763,314.288853,3.7
P3,T3,2,A,0.0862960036,15.9307446984,0.0400486601,10.3543236534,-0.0462473435,-5.576421045,945.458274,10.8
P3,T3,2,B,0.0621251219,7.1414939459,0.0400486601,10.3543236534,-0.0220764618,3.2128297076,22.026855,0.8
P4,T1,1,A,0.2190861967,54.2693004027,0.1029273475,37.6991611249,-0.1161588492,-16.5701392778,287.723463,6.6
P4,T1,1,B,0.1377074809,40.5241667606,0.1029273475,37.6991611249,-0.0347801334,-2.8250056357,154.855293,4.4
P4,T1,2,A,0.2751037739,54.824535932,0.1029273475,37.6991611249,-0.1721764264,-17.1253748071,227.89009,4.3
P4,T1,2,B,0.1485913889,38.1282527363,0.1029273475,37.6991611249,-0.0456640414,-0.4290916114,148.581948,4.7
P4,T2,1,A,0.0466096242,45.602231344,0.0295727914,37.4201667692,-0.0170368328,-8.1820645747,481.864836,8.6
P4,T2,1,B,0.0790258996,37.4744855465,0.0295727914,37.4201667692,-0.0494531083,-0.0543187773,224.827719,5.2
P4,T2,2,A,0.065930683,39.8969023392,0.0295727914,37.4201667692,-0.0363578916,-2.47673557,581.683578,8
P4,T2,2,B,0.0475127118,31.3715701394,0.0295727914,37.4201667692,-0.0179399204,6.0485966299,240.280547,4.7
P4,T3,1,A,0.0800397951,14.874567325,0.0400486601,10.3543236534,-0.0399911349,-4.5202436716,519.706572,7.2
P4,T3,1,B,0.0550741453,7.3856656764,0.0400486601,10.3543236534,-0.0150254851,2.968657977,23.556351,1
P4,T3,2,A,0.0735132408,18.705993127,0.0400486601,10.3543236534,-0.0334645807,-8.3516694736,679.732866,8.3
P4,T3,2,B,0.054332158,5.1084772915,0.0400486601,10.3543236534,-0.0142834978,5.2458463619,34.371835,1.3
P5,T1,1,A,0.229407768,54.8443576934,0.1029273475,37.6991611249,-0.1264804205,-17.1451965685,184.342528,4
P5,T1,1,B,0.1379064171,38.3835204471,0.1029273475,37.6991611249,-0.0349790696,-0.6843593222,88.152095,2.1
P5,T1,2,A,0.2146046675,56.975408626,0.1029273475,37.6991611249,-0.11167732,-19.2762475011,224.75569,4.3
P5,T1,2,B,0.1559404031,28.3437102842,0.1029273475,37.6991611249,-0.0530130557,9.3554508407,76.062712,2.5
P5,T2,1,A,0.0624203328,44.2496885288,0.0295727914,37.4201667692,-0.0328475414,-6.8295217595,327.588247,4.9
P5,T2,1,B,0.0429427795,34.3453468292,0.0295727914,37.4201667692,-0.0133699881,3.07481994,120.266263,1.4
P5,T2,2,A,0.0504960519,42.1087868102,0.0295727914,37.4201667692,-0.0209232605,-4.688620041,449.791207,7.2
P5,T2,2,B,0.0315916603,36.3916555888,0.0295727914,37.4201667692,-0.0020188689,1.0285111804,39.334197,0.4
P5,T3,1,A,0.1166971989,21.2361762154,0.0400486601,10.3543236534,-0.0766485388,-10.881852562,433.799606,6.1
P5,T3,1,B,0.0622682405,12.9132068355,0.0400486601,10.3543236534,-0.0222195804,-2.5588831821,82.442616,1.4
P5,T3,2,A,0.1215982732,12.3808556553,0.0400486601,10.3543236534,-0.0815496131,-2.0265320019,583.5011,6.8
P5,T3,2,B,0.0805585345,15.9076856129,0.0400486601,10.3543236534,-0.0405098743,-5.5533619595,229.961916,2.2
P6,T1,1,A,0.2017407516,64.3952363389,0.1029273475,37.6991611249,-0.0988134041,-26.696075214,158.898421,3.3
P6,T1,1,B,0.149234087,41.4539968809,0.1029273475,37.6991611249,-0.0463067395,-3.754835756,48.095346,1.3
P6,T1,2,A,0.2169909855,63.1239137958,0.1029273475,37.6991611249,-0.114063638,-25.4247526709,156.557808,3.2
P6,T1,2,B,0.1620282933,45.2439133056,0.1029273475,37.6991611249,-0.0591009458,-7.5447521807,81.575773,2
P6,T2,1,A,0.0483492409,43.7301395153,0.0295727914,37.4201667692,-0.0187764495,-6.3099727461,467.244056,4.7
P6,T2,1,B,0.0327782819,41.0561477941,0.0295727914,37.4201667692,-0.0032054905,-3.6359810249,43.5422,0.9
P6,T2,2,A,0.0411113093,44.6669525294,0.0295727914,37.4201667692,-0.0115385179,-7.2467857602,387.65448,3.5
P6,T2,2,B,0.0358753074,42.5355118987,0.0295727914,37.4201667692,-0.006302516,-5.1153451295,30.343535,0.5
P6,T3,1,A,0.0711614055,29.1256101013,0.0400486601,10.3543236534,-0.0311127454,-18.7712864479,317.646675,4.4
P6,T3,1,B,0.0629359797,10.3963922561,0.0400486601,10.3543236534,-0.0228873196,-0.0420686027,16.394917,0.6
P6,T3,2,A,0.0577185816,33.0226377754,0.0400486601,10.3543236534,-0.0176699215,-22.668314122,268.900949,4
P6,T3,2,B,0.0646459841,20.1926595285,0.0400486601,10.3543236534,-0.024597324,-9.8383358751,62.096211,1.2
P7,T1,1,A,0.2745420975,56.3084776742,0.1029273475,37.6991611249,-0.17161475,-18.6093165493,315.901054,5.1
P7,T1,1,B,0.1892931948,31.057985622,0.1029273475,37.6991611249,-0.0863658473,6.6411755029,115.35036,2.3
P7,T1,2,A,0.3131596743,41.3748673554,0.1029273475,37.6991611249,-0.2102323268,-3.6757062306,287.483605,4.6
P7,T1,2,B,0.1783612722,31.7728975601,0.1029273475,37.6991611249,-0.0754339247,5.9262635648,115.9106,2.2
P7,T2,1,A,0.0559336262,38.6298775326,0.0295727914,37.4201667692,-0.0263608348,-1.2097107634,464.290792,4.6
P7,T2,1,B,0.0380435925,31.1405771057,0.0295727914,37.4201667692,-0.0084708011,6.2795896636,157.474973,1.6
P7,T2,2,A,0.0613421529,35.9826910135,0.0295727914,37.4201667692,-0.0317693616,1.4374757557,540.876226,5.4
P7,T2,2,B,0.0395579715,32.2565352748,0.0295727914,37.4201667692,-0.0099851801,5.1636314944,174.688877,1.9
P7,T3,1,A,0.0946926927,26.3387213589,0.0400486601,10.3543236534,-0.0546440326,-15.9843977055,487.713593,6.8
P7,T3,1,B,0.0851948424,14.7183104426,0.0400486601,10.3543236534,-0.0451461823,-4.3639867891,138.465549,2.6
P7,T3,2,A,0.1189142885,29.8943114347,0.0400486601,10.3543236534,-0.0788656284,-19.5399877813,714.458366,6.1
P7,T3,2,B,0.1099702575,17.6148126633,0.0400486601,10.3543236534,-0.0699215974,-7.2604890099,201.715462,3
P8,T1,1,A,0.2944613395,45.299132275,0.1029273475,37.6991611249,-0.191533992,-7.5999711501,334.90644,7.7
P8,T1,1,B,0.1641428513,27.7388814926,0.1029273475,37.6991611249,-0.0612155038,9.9602796323,216.731432,5.2
P8,T1,2,A,0.3169137962,36.2732403545,0.1029273475,37.6991611249,-0.2139864487,1.4259207704,341.114342,6.3
P8,T1,2,B,0.1737092834,28.0611679087,0.1029273475,37.6991611249,-0.0707819359,9.6379932162,132.984444,2.8
P8,T2,1,A,0.0586697586,39.8575155592,0.0295727914,37.4201667692,-0.0290969672,-2.4373487899,514.565877,6.1
P8,T2,1,B,0.0626337658,40.2454147363,0.0295727914,37.4201667692,-0.0330609744,-2.8252479671,165.149727,4.6
P8,T2,2,A,0.0709849765,39.3166541254,0.0295727914,37.4201667692,-0.0414121851,-1.8964873562,548.752669,5.4
P8,T2,2,B,0.057731386,37.821850793,0.0295727914,37.4201667692,-0.0281585946,-0.4016840238,148.853318,2.1
P8,T3,1,A,0.1741048939,33.9895691205,0.0400486601,10.3543236534,-0.1340562338,-23.6352454671,556.556236,9.7
P8,T3,1,B,0.1933419898,29.8856097785,0.0400486601,10.3543236534,-0.1532933297,-19.5312861251,182.688021,3.6
P8,T3,2,A,0.2283718608,34.9764997842,0.0400486601,10.3543236534,-0.1883232007,-24.6221761308,460.381941,8
P8,T3,2,B,0.179361035,15.7285908856,0.0400486601,10.3543236534,-0.1393123749,-5.3742672322,129.711445,2.9
P9,T1,1,A,0.1915469196,55.5767619726,0.1029273475,37.6991611249,-0.0886195721,-17.8776008477,260.892394,8.4
P9,T1,1,B,0.1236224078,30.0059327609,0.1029273475,37.6991611249,-0.0206950603,7.693228364,93.308014,2.5
P9,T1,2,A,0.2038994195,36.4696277331,0.1029273475,37.6991611249,-0.100972072,1.2295333918,327.830063,8.8
P9,T1,2,B,0.143083371,23.8425142548,0.1029273475,37.6991611249,-0.0401560235,13.8566468701,107.673592,3.6
P9,T2,1,A,0.0420714821,38.5923822678,0.0295727914,37.4201667692,-0.0124986907,-1.1722154986,618.496847,6.2
P9,T2,1,B,0.0410216601,35.3192106297,0.0295727914,37.4201667692,-0.0114488687,2.1009561395,118.275498,1.5
P9,T2,2,A,0.0388596541,40.0180040538,0.0295727914,37.4201667692,-0.0092868627,-2.5978372846,556.194189,6.1
P9,T2,2,B,0.0384915214,34.8766781881,0.0295727914,37.4201667692,-0.00891873,2.5434885811,215.12309,2.3
P9,T3,1,A,0.0893707548,10.6366538806,0.0400486601,10.3543236534,-0.0493220947,-0.2823302272,418.461209,9
P9,T3,1,B,0.0694210027,7.1860598863,0.0400486601,10.3543236534,-0.0293723425,3.1682637671,9.873934,0.4
P9,T3,2,A,0.1084623472,13.8422383665,0.0400486601,10.3543236534,-0.0684136871,-3.4879147131,395.028011,7.6
P9,T3,2,B,0.0515320428,19.0551562664,0.0400486601,10.3543236534,-0.0114833827,-8.700832613,16.075056,0.5
