participant,task,attempt,method,Rvel,Rcup,Rtable,Rvel*,Rcup*,Rtable*,RvD,RcD,RtD,Force,iactT,weight
P0,T1,1,A,0.0518258354957,150.862061202,40.3882519127,0.0252667811742,67.9221456532,41.5027278248,-0.0265590543215,-82.9399155491,1.11447591211,119.358099937,1.3,0.911451818509
P0,T1,1,B,0.0318961462139,67.9522612333,48.0039586951,0.0252667811742,67.9221456532,41.5027278248,-0.0066293650397,-0.0301155800677,-6.50123087031,56.4723262787,0.8,0.490230868123
P0,T1,2,A,0.0822783422369,78.1989721796,46.0971741962,0.0252667811742,67.9221456532,41.5027278248,-0.0570115610627,-10.2768265264,-4.59444637144,76.4090528488,1.4,0.921079445785
P0,T1,2,B,0.0326177425177,71.1961146418,45.7365734983,0.0252667811742,67.9221456532,41.5027278248,-0.00735096134354,-3.27396898856,-4.23384567346,77.9125356674,0.9,0.95445189104
P0,T2,1,A,0.190695733778,150.929328015,55.8089149063,0.0521496254811,117.782620548,61.2207211307,-0.138546108297,-33.1467074667,5.41180622438,123.320523977,1.6,1.17525522667
P0,T2,1,B,0.119551355413,129.753681593,71.09529628,0.0521496254811,117.782620548,61.2207211307,-0.067401729932,-11.9710610452,-9.87457514928,68.0069162846,1.1,1.09248911338
P0,T2,2,A,0.157166705813,144.50005306,56.8310659614,0.0521496254811,117.782620548,61.2207211307,-0.105017080332,-26.7174325116,4.38965516925,37.1060693264,0.7,0.961083614229
P0,T2,2,B,0.211093111775,128.581457707,65.9914425074,0.0521496254811,117.782620548,61.2207211307,-0.158943486294,-10.798837159,-4.77072137666,85.1334311962,1.1,1.23972937174
P1,T1,1,A,0.130254278309,72.3399753997,46.00265311,0.0252667811742,67.9221456532,41.5027278248,-0.104987497134,-4.41782974652,-4.49992528515,192.321285009,4.2,0.908988867819
P1,T1,1,B,0.0398249274477,59.6015179528,48.4994098865,0.0252667811742,67.9221456532,41.5027278248,-0.0145581462735,8.32062770042,-6.99668206167,242.649785876,3.0,0.926849797711
P1,T1,2,A,0.135020962402,65.5292135429,44.540169557,0.0252667811742,67.9221456532,41.5027278248,-0.109754181228,2.39293211026,-3.03744173224,342.101089001,5.0,0.953178939023
P1,T1,2,B,0.0512530364976,55.9753648946,51.3630081771,0.0252667811742,67.9221456532,41.5027278248,-0.0259862553234,11.9467807586,-9.86028035232,343.448144197,4.2,0.961935340481
P1,T2,1,A,0.272673156092,136.280164972,46.2933815549,0.0521496254811,117.782620548,61.2207211307,-0.220523530611,-18.4975444244,14.9273395758,157.249237537,1.9,0.986805764306
P1,T2,1,B,0.238320951457,114.424190391,51.4274482237,0.0521496254811,117.782620548,61.2207211307,-0.186171325976,3.35843015729,9.79327290704,392.062259674,4.0,1.63479770641
P1,T2,2,A,0.274748861759,142.805038637,44.0186307887,0.0521496254811,117.782620548,61.2207211307,-0.222599236278,-25.0224180885,17.202090342,218.535224557,3.6,1.10384567231
P1,T2,2,B,0.17024146762,120.104904941,59.6710913572,0.0521496254811,117.782620548,61.2207211307,-0.118091842139,-2.32228439343,1.54962977348,188.640878916,2.8,1.68554997204
P2,T1,1,A,0.142293172484,71.4841453441,54.9408824031,0.0252667811742,67.9221456532,41.5027278248,-0.11702639131,-3.5619996909,-13.4381545783,99.6695524454,2.1,0.915803630798
