participant,task,method,age,gender,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10
P0,1,A,23,Female,4,7,6,4,5,6,6,6,2,6
P0,1,B,23,Female,4,7,5,5,3,1,1,1,1,4
P0,2,A,23,Female,3,6,6,3,5,6,7,4,3,5
P0,2,B,23,Female,3,5,2,4,2,2,1,3,5,3
P1,1,A,22,Female,6,6,3,6,3,6,6,6,3,6
P1,1,B,22,Female,6,6,3,6,2,3,6,5,2,6
P1,2,A,22,Female,6,6,4,6,4,6,6,6,4,6
P1,2,B,22,Female,6,6,2,6,2,3,4,2,2,6
P2,1,A,24,Female,5,5,5,5,4,4,5,5,4,4
P2,1,B,24,Female,5,5,3,5,3,3,4,3,4,4
P2,2,A,24,Female,5,5,5,4,4,5,5,4,5,3
P2,2,B,24,Female,6,6,3,5,3,3,3,3,4,4
P3,1,A,23,Male,4,3,6,2,6,6,6,6,3,2
P3,1,B,23,Male,6,6,2,6,2,2,2,2,2,6
P3,2,A,23,Male,2,2,6,1,7,7,7,7,6,2
P3,2,B,23,Male,5,5,2,5,3,3,3,2,2,6
P4,1,A,22,Female,6,7,2,6,2,1,1,1,2,4
P4,1,B,22,Female,6,6,3,5,5,5,6,5,2,6
P4,2,A,22,Female,5,5,4,4,6,6,7,6,3,5
P4,2,B,22,Female,5,4,4,5,4,6,6,5,3,5
P5,1,A,23,Male,7,6,1,6,2,1,3,1,1,7
P5,1,B,23,Male,5,5,2,5,2,1,1,2,4,6
P5,2,A,23,Male,7,7,1,7,1,1,1,1,1,7
P5,2,B,23,Male,6,5,2,6,3,2,3,3,2,6
P6,1,A,24,Male,5,5,5,3,5,6,6,5,3,5
P6,1,B,24,Male,6,5,4,5,3,2,2,2,2,5
P6,2,A,24,Male,6,6,2,5,2,2,4,3,2,5
P6,2,B,24,Male,5,5,2,5,2,3,5,2,3,4
P7,1,A,23,Female,3,4,6,4,5,6,6,6,5,4
P7,1,B,23,Female,5,5,3,5,3,2,2,2,2,5
P7,2,A,23,Female,4,6,5,3,4,5,6,5,3,4
P7,2,B,23,Female,4,6,4,5,2,1,4,2,3,5
P8,1,A,23,Female,6,5,7,5,6,7,7,6,1,6
P8,1,B,23,Female,7,6,7,5,5,7,7,6,1,6
P8,2,A,23,Female,6,7,2,6,3,5,7,2,2,6
P8,2,B,23,Female,6,5,1,4,5,2,5,2,1,6
P9,1,A,22,Male,6,5,4,4,3,4,5,5,3,5
P9,1,B,22,Male,5,5,2,5,3,2,3,3,4,3
P9,2,A,22,Male,5,5,4,5,5,4,2,2,4,5
P9,2,B,22,Male,4,4,3,3,5,3,6,4,3,4
P10,1,A,22,Non-binary trans-masculine,6,3,6,3,6,6,7,7,2,6
P10,1,B,22,Non-binary trans-masculine,7,7,1,7,1,1,1,1,4,4
P10,2,A,22,Non-binary trans-masculine,5,5,2,5,2,1,1,1,1,4
P10,2,B,22,Non-binary trans-masculine,7,5,3,5,3,2,5,1,1,6
P11,1,A,28,Female,2,2,6,3,5,5,6,6,2,6
P11,1,B,28,Female,6,6,1,5,2,2,6,1,1,6
P11,2,A,28,Female,4,5,2,5,1,1,1,2,2,6
P11,2,B,28,Female,3,1,2,2,6,2,2,2,2,6

