participant,task,attempt,method,Rv,Rf,Rv*,Rf*,RvD,RfD,Force,iactT
P0,T1,1,A,0.0,0.0,0.0,0.0,0.0,0.0,443.443077,6.7
P0,T1,1,B,0.0,0.0,0.0,0.0,0.0,0.0,78.140262,1.5
P0,T1,2,A,0.0,0.0,0.0,0.0,0.0,0.0,266.021091,4.8
P0,T1,2,B,0.0,0.0,0.0,0.0,0.0,0.0,93.257794,1.9
P0,T2,1,A,0.0,0.0,0.0,0.0,0.0,0.0,74.466533,0.8
P0,T2,1,B,0.0,0.0,0.0,0.0,0.0,0.0,33.380811,0.3
P0,T2,2,A,0.0,0.0,0.0,0.0,0.0,0.0,106.764331,1.1
P0,T2,2,B,0.0,0.0,0.0,0.0,0.0,0.0,27.94078,0.4
P0,T3,1,A,0.0,0.0,0.0,0.0,0.0,0.0,617.993337,13.2
P0,T3,1,B,0.0,0.0,0.0,0.0,0.0,0.0,18.160184,0.4
P0,T3,2,A,0.0,0.0,0.0,0.0,0.0,0.0,633.981445,13.3
P0,T3,2,B,0.0,0.0,0.0,0.0,0.0,0.0,16.559244,0.6
P1,T1,1,A,0.0,0.0,0.0,0.0,0.0,0.0,248.4894,4.4
P1,T1,1,B,0.0,0.0,0.0,0.0,0.0,0.0,36.715548,0.7
P1,T1,2,A,0.0,0.0,0.0,0.0,0.0,0.0,299.701159,4.1
P1,T1,2,B,0.0,0.0,0.0,0.0,0.0,0.0,71.246925,1.7
P1,T2,1,A,0.0,0.0,0.0,0.0,0.0,0.0,261.150119,3.3
P1,T2,1,B,0.0,0.0,0.0,0.0,0.0,0.0,94.996929,1.6
P1,T2,2,A,0.0,0.0,0.0,0.0,0.0,0.0,269.936539,4.5
P1,T2,2,B,0.0,0.0,0.0,0.0,0.0,0.0,104.423596,1.2
P1,T3,1,A,0.0,0.0,0.0,0.0,0.0,0.0,440.133334,5.3
P1,T3,1,B,0.0,0.0,0.0,0.0,0.0,0.0,72.30585,1.5
P1,T3,2,A,0.0,0.0,0.0,0.0,0.0,0.0,539.574975,5.9
P1,T3,2,B,0.0,0.0,0.0,0.0,0.0,0.0,227.917657,1.9
P2,T1,1,A,0.0,0.0,0.0,0.0,0.0,0.0,201.034269,4.1
P2,T1,1,B,0.0,0.0,0.0,0.0,0.0,0.0,69.242431,1.3
P2,T1,2,A,0.0,0.0,0.0,0.0,0.0,0.0,233.672233,5.4
P2,T1,2,B,0.0,0.0,0.0,0.0,0.0,0.0,26.187261,0.7
P2,T2,1,A,0.0,0.0,0.0,0.0,0.0,0.0,213.932262,2.2
P2,T2,1,B,0.0,0.0,0.0,0.0,0.0,0.0,73.495237,0.8
P2,T2,2,A,0.0,0.0,0.0,0.0,0.0,0.0,288.929645,3.2
P2,T2,2,B,0.0,0.0,0.0,0.0,0.0,0.0,153.511677,2.0
P2,T3,1,A,0.0,0.0,0.0,0.0,0.0,0.0,400.288093,7.1
P2,T3,1,B,0.0,0.0,0.0,0.0,0.0,0.0,123.96605,2.2
P2,T3,2,A,0.0,0.0,0.0,0.0,0.0,0.0,464.424631,6.9
P2,T3,2,B,0.0,0.0,0.0,0.0,0.0,0.0,245.938813,2.4
P3,T1,1,A,0.0,0.0,0.0,0.0,0.0,0.0,249.494819,6.4
P3,T1,1,B,0.0,0.0,0.0,0.0,0.0,0.0,59.994887,1.5
P3,T1,2,A,0.0,0.0,0.0,0.0,0.0,0.0,154.057712,4.9
P3,T1,2,B,0.0,0.0,0.0,0.0,0.0,0.0,82.765487,1.9
P3,T2,1,A,0.0,0.0,0.0,0.0,0.0,0.0,580.909767,6.4
P3,T2,1,B,0.0,0.0,0.0,0.0,0.0,0.0,221.022659,5.3
P3,T2,2,A,0.0,0.0,0.0,0.0,0.0,0.0,579.484504,6.3
P3,T2,2,B,0.0,0.0,0.0,0.0,0.0,0.0,342.635732,6.4
P3,T3,1,A,0.0,0.0,0.0,0.0,0.0,0.0,446.738247,7.8
P3,T3,1,B,0.0,0.0,0.0,0.0,0.0,0.0,314.288853,3.7
P3,T3,2,A,0.0,0.0,0.0,0.0,0.0,0.0,945.458274,10.8
P3,T3,2,B,0.0,0.0,0.0,0.0,0.0,0.0,22.026855,0.8
P4,T1,1,A,0.0,0.0,0.0,0.0,0.0,0.0,287.723463,6.6
P4,T1,1,B,0.0,0.0,0.0,0.0,0.0,0.0,154.855293,4.4
P4,T1,2,A,0.0,0.0,0.0,0.0,0.0,0.0,227.89009,4.3
P4,T1,2,B,0.0,0.0,0.0,0.0,0.0,0.0,148.581948,4.7
P4,T2,1,A,0.0,0.0,0.0,0.0,0.0,0.0,481.864836,8.6
P4,T2,1,B,0.0,0.0,0.0,0.0,0.0,0.0,224.827719,5.2
P4,T2,2,A,0.0,0.0,0.0,0.0,0.0,0.0,581.683578,8.0
P4,T2,2,B,0.0,0.0,0.0,0.0,0.0,0.0,240.280547,4.7
P4,T3,1,A,0.0,0.0,0.0,0.0,0.0,0.0,519.706572,7.2
P4,T3,1,B,0.0,0.0,0.0,0.0,0.0,0.0,23.556351,1.0
P4,T3,2,A,0.0,0.0,0.0,0.0,0.0,0.0,679.732866,8.3
P4,T3,2,B,0.0,0.0,0.0,0.0,0.0,0.0,34.371835,1.3
P5,T1,1,A,0.0,0.0,0.0,0.0,0.0,0.0,184.342528,4.0
P5,T1,1,B,0.0,0.0,0.0,0.0,0.0,0.0,88.152095,2.1
P5,T1,2,A,0.0,0.0,0.0,0.0,0.0,0.0,224.75569,4.3
P5,T1,2,B,0.0,0.0,0.0,0.0,0.0,0.0,76.062712,2.5
P5,T2,1,A,0.0,0.0,0.0,0.0,0.0,0.0,327.588247,4.9
P5,T2,1,B,0.0,0.0,0.0,0.0,0.0,0.0,120.266263,1.4
P5,T2,2,A,0.0,0.0,0.0,0.0,0.0,0.0,449.791207,7.2
P5,T2,2,B,0.0,0.0,0.0,0.0,0.0,0.0,39.334197,0.4
P5,T3,1,A,0.0,0.0,0.0,0.0,0.0,0.0,433.799606,6.1
P5,T3,1,B,0.0,0.0,0.0,0.0,0.0,0.0,82.442616,1.4
P5,T3,2,A,0.0,0.0,0.0,0.0,0.0,0.0,583.5011,6.8
P5,T3,2,B,0.0,0.0,0.0,0.0,0.0,0.0,229.961916,2.2
P6,T1,1,A,0.0,0.0,0.0,0.0,0.0,0.0,158.898421,3.3
P6,T1,1,B,0.0,0.0,0.0,0.0,0.0,0.0,48.095346,1.3
P6,T1,2,A,0.0,0.0,0.0,0.0,0.0,0.0,156.557808,3.2
P6,T1,2,B,0.0,0.0,0.0,0.0,0.0,0.0,81.575773,2.0
P6,T2,1,A,0.0,0.0,0.0,0.0,0.0,0.0,467.244056,4.7
P6,T2,1,B,0.0,0.0,0.0,0.0,0.0,0.0,43.5422,0.9
P6,T2,2,A,0.0,0.0,0.0,0.0,0.0,0.0,387.65448,3.5
P6,T2,2,B,0.0,0.0,0.0,0.0,0.0,0.0,30.343535,0.5
P6,T3,1,A,0.0,0.0,0.0,0.0,0.0,0.0,317.646675,4.4
P6,T3,1,B,0.0,0.0,0.0,0.0,0.0,0.0,16.394917,0.6
P6,T3,2,A,0.0,0.0,0.0,0.0,0.0,0.0,268.900949,4.0
P6,T3,2,B,0.0,0.0,0.0,0.0,0.0,0.0,62.096211,1.2
P7,T1,1,A,0.0,0.0,0.0,0.0,0.0,0.0,315.901054,5.1
P7,T1,1,B,0.0,0.0,0.0,0.0,0.0,0.0,115.35036,2.3
P7,T1,2,A,0.0,0.0,0.0,0.0,0.0,0.0,287.483605,4.6
P7,T1,2,B,0.0,0.0,0.0,0.0,0.0,0.0,115.9106,2.2
P7,T2,1,A,0.0,0.0,0.0,0.0,0.0,0.0,464.290792,4.6
P7,T2,1,B,0.0,0.0,0.0,0.0,0.0,0.0,157.474973,1.6
P7,T2,2,A,0.0,0.0,0.0,0.0,0.0,0.0,540.876226,5.4
P7,T2,2,B,0.0,0.0,0.0,0.0,0.0,0.0,174.688877,1.9
P7,T3,1,A,0.0,0.0,0.0,0.0,0.0,0.0,487.713593,6.8
P7,T3,1,B,0.0,0.0,0.0,0.0,0.0,0.0,138.465549,2.6
P7,T3,2,A,0.0,0.0,0.0,0.0,0.0,0.0,714.458366,6.1
P7,T3,2,B,0.0,0.0,0.0,0.0,0.0,0.0,201.715462,3.0
P8,T1,1,A,0.0,0.0,0.0,0.0,0.0,0.0,334.90644,7.7
P8,T1,1,B,0.0,0.0,0.0,0.0,0.0,0.0,216.731432,5.2
P8,T1,2,A,0.0,0.0,0.0,0.0,0.0,0.0,341.114342,6.3
